idx,file,subject,stage,crop,ratio,heroC,hdrC,tileC,sqC,skin,skinY,skinLost,mean,sd,blown,sat,ringsat,cast
254,relaxed-female-runner-outdoors-picture-id1143241011 (1).jpg,move,s5,T,1.583,1.239,1.181,1.044,1.03,0,0,0,150.6,62.8,0.0578,0.262,0.175,38.2
255,shutterstock_1022179111 (1).jpg,nutrition,s6,T,1.5,1.148,1.216,1.029,1.109,0,0,0,170.5,62.7,0.0962,0.303,0.275,45.3
256,shutterstock_1038614926 (1).jpg,social,s6,T,1.5,1.076,1.139,1.074,1.165,0,0,0,91.5,61.6,0.0,0.346,0.351,11.3
257,shutterstock_1154866195 (1).jpg,family,s6,T,1.5,1.252,1.186,1.061,1.183,0,0,0,196.8,59.4,0.2583,0.22,0.161,23.9
258,shutterstock_1329116309 (1).jpg,digital,s2,T,1.506,1.117,1.112,1.102,1.355,0,0,0,179.7,39.9,0.0,0.312,0.273,1.2
259,shutterstock_1372046480 (1).jpg,family,s6,T,1.5,1.432,1.464,1.103,1.147,0,0,0,159.3,70.7,0.0031,0.189,0.134,9.9
260,shutterstock_1388859806.jpg,mind,s6,T,1.5,1.185,1.259,1.08,1.455,0,0,0,166.3,45.7,0.0,0.373,0.268,16.1
261,shutterstock_1419388685.jpg,pets,s6,T,1.778,1.357,1.317,1.0,1.721,0,0,0,166.3,42.8,0.0,0.358,0.339,65.6
262,shutterstock_1517173505 (2).jpg,family,s3,T,1.5,1.206,1.213,1.008,1.113,0,0,0,168.7,65.1,0.0446,0.143,0.121,12.1
263,shutterstock_1646469193 (1).jpg,family,s6,T,1.5,1.032,1.15,1.009,1.17,0,0,0,165.1,64.0,0.0498,0.201,0.203,23.7
264,shutterstock_1756275173.jpg,pets,s6,T,1.5,1.121,1.126,1.082,1.138,0,0,0,138.3,67.1,0.0,0.424,0.296,59.0
265,shutterstock_269273078 (1).jpg,work,s6,T,1.5,0.952,0.942,1.085,1.424,0,0,0,102.0,41.6,0.0,0.078,0.014,6.7
266,shutterstock_367244801 (1).jpg,digital,s6,T,1.5,0.871,0.734,0.994,1.181,0,0,0,204.5,65.7,0.5044,0.152,0.127,20.2
267,shutterstock_386524096.jpg,digital,s6,T,1.5,1.109,1.163,1.042,1.031,0,0,0,105.0,37.7,0.0,0.616,0.639,31.2
268,shutterstock_393514300 (1).jpg,work,s6,T,1.5,0.742,0.578,1.004,1.288,0,0,0,206.9,46.6,0.0597,0.093,0.087,15.3
269,shutterstock_416247208.jpg,mind,s5,H,1.5,1.196,1.151,1.07,1.02,0,0,0,146.3,78.6,0.0002,0.256,0.212,35.1
270,shutterstock_435866839 (1).jpg,work,s6,X,1.5,1.081,1.023,1.032,1.352,0,0,0,175.5,57.8,0.0002,0.089,0.063,-10.4
271,shutterstock_448835689.jpg,outdoors,s6,H,1.5,1.341,1.378,1.096,1.025,0,0,0,124.3,69.0,0.0003,0.278,0.366,5.2
272,shutterstock_466064054.jpg,family,s6,T,1.5,1.058,0.958,1.008,1.335,0,0,0,217.2,50.8,0.3459,0.088,0.037,15.1
273,shutterstock_470594660 (1).jpg,family,s6,N,1.498,1.387,1.462,1.077,1.303,0,0,0,143.4,25.5,0.0,0.137,0.095,22.2
274,shutterstock_603632939.jpg,portrait,s5,T,1.499,1.304,1.382,1.124,1.3,0,0,0,164.0,76.3,0.0996,0.161,0.079,18.4
275,shutterstock_635623724.jpg,portrait,s6,T,1.498,1.3,1.396,1.094,1.222,0,0,0,107.1,34.6,0.0005,0.359,0.388,-9.9
276,shutterstock_713208043 (1).jpg,digital,s6,H,1.5,1.181,1.179,1.093,0.983,0,0,0,145.1,65.5,0.1624,0.176,0.087,28.6
